127.0.0.1 - - [09/May/2019:19:07:48 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:03 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:03 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:11 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:15 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4484
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:17 +0900] "GET /BBS/view.jsp?bbsID=18 HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:23 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:25 +0900] "GET /BBS/update.jsp?bbsID=15 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [09/May/2019:19:08:43 +0900] "POST /BBS/updateAction.jsp?bbsID=15 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [09/May/2019:19:24:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:24:37 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4484
0:0:0:0:0:0:0:1 - - [09/May/2019:19:24:55 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [09/May/2019:19:24:59 +0900] "GET /BBS/update.jsp?bbsID=15 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [09/May/2019:19:27:06 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [09/May/2019:19:27:21 +0900] "GET /BBS/update.jsp?bbsID=15 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [09/May/2019:19:28:05 +0900] "POST /BBS/updateAction.jsp?bbsID=15 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/May/2019:19:28:38 +0900] "POST /BBS/updateAction.jsp?bbsID=15 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [09/May/2019:19:28:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:28:39 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4488
0:0:0:0:0:0:0:1 - - [09/May/2019:19:28:41 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 500 3333
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:19 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:23 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 500 3333
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:33 +0900] "GET /BBS/view.jsp?bbsID=14 HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:35 +0900] "GET /BBS/update.jsp?bbsID=14 HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:44 +0900] "POST /BBS/updateAction.jsp?bbsID=14 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:46 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4533
0:0:0:0:0:0:0:1 - - [09/May/2019:19:29:47 +0900] "GET /BBS/view.jsp?bbsID=14 HTTP/1.1" 500 3333
0:0:0:0:0:0:0:1 - - [09/May/2019:19:34:22 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 500 3369
0:0:0:0:0:0:0:1 - - [09/May/2019:19:35:15 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [09/May/2019:19:40:29 +0900] "GET /BBS/view.jsp?bbsID=13 HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [09/May/2019:19:41:28 +0900] "GET /BBS/view.jsp?bbsID=13 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [09/May/2019:19:41:33 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [09/May/2019:19:41:36 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [09/May/2019:19:41:39 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [09/May/2019:19:41:41 +0900] "GET /BBS/view.jsp?bbsID=14 HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [09/May/2019:19:43:18 +0900] "GET /BBS/view.jsp?bbsID=13 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [09/May/2019:19:43:19 +0900] "GET /BBS/update.jsp?bbsID=13 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [09/May/2019:19:43:30 +0900] "POST /BBS/updateAction.jsp?bbsID=13 HTTP/1.1" 500 2625
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:36 +0900] "POST /BBS/updateAction.jsp?bbsID=13 HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:37 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:41 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4533
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:43 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:45 +0900] "GET /BBS/view.jsp?bbsID=10 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:51 +0900] "GET /BBS/update.jsp?bbsID=10 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [09/May/2019:19:45:59 +0900] "POST /BBS/updateAction.jsp?bbsID=10 HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/May/2019:19:46:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:48:50 +0900] "GET /BBS/view.jsp?bbsID=10 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [09/May/2019:19:48:51 +0900] "GET /BBS/update.jsp?bbsID=10 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [09/May/2019:19:48:59 +0900] "POST /BBS/updateAction.jsp?bbsID=10 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [09/May/2019:19:49:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:19:49:02 +0900] "GET /BBS/view.jsp?bbsID=10 HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [09/May/2019:20:06:00 +0900] "GET /BBS/view.jsp?bbsID=9 HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [09/May/2019:20:06:02 +0900] "GET /BBS/update.jsp?bbsID=9 HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [09/May/2019:20:06:10 +0900] "POST /BBS/updateAction.jsp?bbsID=9 HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [09/May/2019:20:06:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:06:12 +0900] "GET /BBS/view.jsp?bbsID=9 HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:31 +0900] "GET /BBS/update.jsp?bbsID=9 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:35 +0900] "POST /BBS/updateAction.jsp?bbsID=9 HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:41 +0900] "POST /BBS/updateAction.jsp?bbsID=9 HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:49 +0900] "GET /BBS/view.jsp?bbsID=7 HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:51 +0900] "GET /BBS/view.jsp?bbsID=8 HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:53 +0900] "GET /BBS/update.jsp?bbsID=8 HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:55 +0900] "POST /BBS/updateAction.jsp?bbsID=8 HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:07:56 +0900] "GET /BBS/view.jsp?bbsID=8 HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [09/May/2019:20:09:45 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:09:46 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [09/May/2019:20:09:56 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [09/May/2019:20:09:56 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:09:58 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [09/May/2019:20:10:41 +0900] "GET /BBS/bbs.jsp?pageNumber=3 HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [09/May/2019:20:10:42 +0900] "GET /BBS/view.jsp?bbsID=21 HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:42 +0900] "GET /BBS/update.jsp?bbsID=21 HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:51 +0900] "POST /BBS/updateAction.jsp?bbsID=21 HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:53 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:53 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:54 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:54 +0900] "GET /BBS/bbs.jsp?pageNumber=3 HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [09/May/2019:20:15:56 +0900] "GET /BBS/view.jsp?bbsID=21 HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [09/May/2019:20:16:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [09/May/2019:20:16:48 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [09/May/2019:20:16:50 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [09/May/2019:20:16:51 +0900] "GET /BBS/update.jsp?bbsID=15 HTTP/1.1" 200 2726
